"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
80100,15,988.0193207810762,51120.000050000002,1,41.391902923583984,0.43035306555193809
80400,20,988.73847518835953,51120.000050000002,1,41.361797332763672,0.44351768433331068
80700,1,989.42256280988124,51120.000050000002,1,41.333198547363281,0.45668752063116597
81000,6,990.10617878108769,50279.999969999997,1,40.625946044921875,0.4698482562130738
81300,11,990.76086406644174,50279.999969999997,1,40.599102020263672,0.48279123642505417
81600,16,991.43235581844635,50279.999969999997,1,40.571601867675781,0.49571829323921113
81900,21,993.06779953889895,51959.999969999997,1,41.858169555664063,0.50863386422752588
82200,2,995.28009047250862,51959.999969999997,1,41.765129089355469,0.52193969374495452
82500,7,997.45478335924031,51959.999969999997,1,41.674068450927734,0.53523067932978208
82800,12,999.62475262781709,50280.000050000002,1,40.239101409912109,0.54849273334327264
83100,17,1001.6875862399449,50280.000050000002,1,40.156234741210938,0.56131311072614121
83400,22,1003.7786808223027,50280.000050000002,1,40.072578430175781,0.57409255104581292
83700,3,1005.8654349177015,51959.999969999997,1,41.325607299804688,0.58684540971157328
84000,8,1008.0496834552757,51959.999969999997,1,41.236061096191406,0.59998222429556747
84300,13,1009.9689942248858,51959.999969999997,1,41.157699584960938,0.61310621387698094
84600,18,1011.8844077442077,48599.999969999997,1,38.423362731933594,0.62620528066977776
84900,23,1013.6079482460367,48599.999969999997,1,38.358024597167969,0.6384635039507921
85200,4,1015.3932924194544,48599.999969999997,1,38.290580749511719,0.65067213626338316
85500,9,1017.1755076089806,49440.000050000002,1,38.884143829345703,0.66285932980135254
85800,14,1019.0014334459484,49440.000050000002,1,38.814468383789063,0.67522816588972545
86100,19,1020.8080032676792,49440.000050000002,1,38.745777130126953,0.68758202351225917
86400,0,1022.6113863157176,161967.05309999999,1,97.788856506347656,0.69991404621202546
86700,5,1029.5645446965291,161967.05309999999,1,97.128440856933594,0.73033532069977725
87000,10,1035.0657276740869,161967.05309999999,1,96.612220764160156,0.76120895044456438
87300,15,1040.5379274882653,66239.999979999993,1,50.927505493164063,0.79191912700254152
87600,20,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
87900,1,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
88200,6,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
88500,11,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
88800,16,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
89100,21,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
89400,2,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
89700,7,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
90000,12,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
90300,17,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
90600,22,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
90900,3,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
91200,8,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
91500,13,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
91800,18,1040.1543024365965,65399.999980000001,0,0,0.80267368135050166
92100,23,1040.1543024365965,65399.999980000001,0,0,0.80267368135050166
92400,4,1040.1543024365965,65399.999980000001,0,0,0.80267368135050166
92700,9,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
93000,14,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
93300,19,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
93600,0,1040.1543024365965,65400.000039999999,0,0,0.80267368135050166
93900,5,1040.1543024365965,65400.000039999999,0,0,0.80267368135050166
94200,10,1040.1543024365965,65400.000039999999,0,0,0.80267368135050166
94500,15,1040.1543024365965,72119.999979999993,0,0,0.80267368135050166
