"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
97800,22,958.59960641710416,0,0,0,0.19743463595225719
98100,3,958.59960641710416,0,0,0,0.19743463595225719
98400,8,958.59960641710416,0,0,0,0.19743463595225719
98700,13,958.59960641710416,0,0,0,0.19743463595225719
99000,18,958.59960641710416,0,0,0,0.19743463595225719
99300,23,958.59960641710416,0,0,0,0.19743463595225719
99600,4,958.59960641710416,0,0,0,0.19743463595225719
99900,9,958.59960641710416,0,0,0,0.19743463595225719
100200,14,958.59960641710416,0,0,0,0.19743463595225719
100500,19,958.59960641710416,0,0,0,0.19743463595225719
100800,0,958.59960641710416,0,0,0,0.19743463595225719
101100,5,958.59960641710416,0,0,0,0.19743463595225719
101400,10,958.59960641710416,0,0,0,0.19743463595225719
101700,15,958.59960641710416,0,0,0,0.19743463595225719
102000,20,958.59960641710416,0,0,0,0.19743463595225719
102300,1,958.59960641710416,0,0,0,0.19743463595225719
102600,6,958.59960641710416,0,0,0,0.19743463595225719
102900,11,958.59960641710416,0,0,0,0.19743463595225719
103200,16,958.59960641710416,0,0,0,0.19743463595225719
103500,21,958.59960641710416,0,0,0,0.19743463595225719
103800,2,958.59960641710416,0,0,0,0.19743463595225719
104100,7,958.59960641710416,0,0,0,0.19743463595225719
104400,12,958.59960641710416,0,0,0,0.19743463595225719
104700,17,958.59960641710416,86.062367240314188,1,0.071823418140411377,0.19743463595225719
105000,22,958.60809835825683,92.050014840870233,1,0.076819732785224915,0.19745586847222038
105300,3,958.61554207835331,91.584120752742763,1,0.076430320739746094,0.1974793101855522
105600,8,958.62282574392191,92.737670212593059,1,0.077392421662807465,0.19750268771664414
105900,13,958.63023204644753,92.027444858949949,1,0.076799117028713226,0.19752634569255065
106200,18,958.63754624726334,91.421389643591795,1,0.076292760670185089,0.1975498380846944
106500,23,958.64481411863244,89.59785028743012,1,0.074770420789718628,0.19757317473995317
106800,4,958.65191355340357,91.431737572657497,1,0.076300263404846191,0.19759605619837251
107100,9,958.65922860429032,91.780415288571533,1,0.076590657234191895,0.19761937438989041
107400,14,958.66654308007026,93.467244198490945,1,0.077997714281082153,0.19764279402303281
107700,19,958.67401728978291,88.989130586137378,1,0.074260182678699493,0.19766663257050238
108000,0,958.68101749218374,91.72961411790503,1,0.076546512544155121,0.19768938057265908
108300,5,958.68837330134795,90.715398283973471,1,0.075699590146541595,0.19771276635969853
108600,10,958.69557680459866,88.077276936029875,1,0.073497600853443146,0.19773592508676779
108900,15,958.70253928498823,91.891518922330675,1,0.076679900288581848,0.19775842422628714
109200,20,958.70992826629004,316.41601703476772,1,0.26403483748435974,0.19778184167077034
109500,1,958.73939591122394,566.96732293958235,1,0.47309401631355286,0.19786067686079445
109800,6,958.78930530988487,529.54356403606812,1,0.44184353947639465,0.1980032224014949
110100,11,958.83074993645926,792.26595056797237,1,0.6610267162322998,0.19813866153970014
110400,16,958.89882078291055,789.52564590041675,1,0.65869361162185669,0.19833857397967769
110700,21,958.96161500989058,973.67129685427494,1,0.8122713565826416,0.19854003164511796
111000,2,959.04261896789217,973.13464919469413,1,0.81175512075424194,0.19878686331365836
111300,7,959.12005809299751,1177.6114653118971,1,0.98224323987960815,0.19903510840901351
111600,12,959.21766434092126,1443.0768056025349,1,1.2035447359085083,0.19933374396332032
111900,17,959.33754324089011,1701.2705248286434,1,1.4187045097351074,0.1996995328079727
112200,22,959.46416693595154,1983.2339296185687,1,1.6536179780960083,0.20013117689252991
112500,3,959.57495789061886,2322.899631983923,1,1.9366071224212646,0.20063446079934369
